freq,prev,p.freq,p.prev,p,contaminant
2.983987548633557e-6,2,NA,0.6694619147449337,0.6694619147449337,FALSE
7.707057815264908e-7,1,NA,NA,NA,FALSE
7.707057815264908e-7,1,NA,NA,NA,FALSE
5.7705212153279115e-6,2,NA,0.6694619147449337,0.6694619147449337,FALSE
1.2443505317799924e-5,5,NA,0.8282996733607166,0.8282996733607166,FALSE
7.707057815264908e-7,1,NA,NA,NA,FALSE
9.06393153468676e-7,1,NA,NA,NA,FALSE
2.474839271557746e-5,8,NA,0.9148301516958093,0.9148301516958093,FALSE
7.707057815264908e-7,1,NA,NA,NA,FALSE
1.9935830287665503e-4,21,NA,0.9980660618147387,0.9980660618147387,FALSE
6.620160899235859e-5,7,NA,0.8918112737757578,0.8918112737757578,FALSE
3.948486737085224e-6,2,NA,0.6694619147449337,0.6694619147449337,FALSE
2.1560738757152776e-6,1,NA,NA,NA,FALSE
0,0,NA,NA,NA,FALSE
1.608318766369056e-5,4,NA,0.7853745917008959,0.7853745917008959,FALSE
0,0,NA,NA,NA,FALSE
7.707057815264908e-7,1,NA,NA,NA,FALSE
1.3275240360922125e-5,3,NA,0.7330269311401387,0.7330269311401387,FALSE
2.8023804977342954e-5,10,NA,0.9481574836409274,0.9481574836409274,FALSE
2.5769857126494175e-6,2,NA,0.6694619147449337,0.6694619147449337,FALSE
2.2538558408541348e-5,6,NA,0.8633405563483255,0.8633405563483255,FALSE
4.2837851404941195e-6,4,NA,0.7853745917008959,0.7853745917008959,FALSE
4.9104699602227e-6,3,NA,0.7330269311401387,0.7330269311401387,FALSE
7.707057815264908e-7,1,NA,NA,NA,FALSE
